first_seen_utc,dst_ip,dst_port,c2_status,last_online,malware
21/02/02 10:28,176.62.180.164,447,offline,21/02/21,TrickBot
21/02/02 12:02,200.142.124.146,447,offline,21/03/20,TrickBot
21/02/02 15:31,103.89.252.130,447,offline,21/03/20,TrickBot
21/02/02 17:27,77.220.64.133,443,offline,21/02/24,Dridex
21/02/02 17:27,192.241.175.242,691,offline,21/03/18,Dridex
21/02/02 17:27,62.14.242.133,8443,offline,21/03/06,Dridex
21/02/02 18:48,45.234.248.154,447,offline,21/03/20,TrickBot
21/02/02 20:03,45.201.134.202,447,offline,21/03/20,TrickBot
21/02/02 22:27,103.94.7.43,447,offline,21/02/22,TrickBot
21/02/03 04:58,46.252.38.244,447,online,21/03/21,TrickBot
21/02/03 16:42,95.210.118.90,443,offline,21/02/25,TrickBot
21/02/03 18:47,77.220.64.149,443,offline,21/02/23,Dridex
21/02/04 17:18,45.234.248.146,447,offline,21/03/11,TrickBot
21/02/08 12:27,178.128.83.165,443,online,21/03/21,Dridex
21/02/10 13:31,212.227.53.240,5037,offline,21/03/14,Dridex
21/02/10 13:31,77.220.64.132,443,offline,21/02/24,Dridex
21/02/10 16:14,173.203.78.138,443,offline,21/03/18,Dridex
21/02/10 16:14,217.160.107.189,6601,offline,21/03/18,Dridex
21/02/10 16:14,77.220.64.150,5037,offline,21/02/23,Dridex
21/02/10 18:05,142.202.191.164,443,offline,21/03/12,TrickBot
21/02/11 18:40,173.255.246.77,691,offline,21/02/28,Dridex
21/02/14 01:21,185.216.27.185,8172,offline,21/03/11,Dridex
21/02/16 19:26,185.234.72.84,443,online,21/03/21,TrickBot
21/02/17 15:50,198.1.115.153,8172,offline,21/03/18,Dridex
21/02/17 15:50,209.20.87.138,443,offline,21/03/18,Dridex
21/02/17 15:52,151.236.29.248,6516,offline,21/03/18,Dridex
21/02/19 18:02,181.196.245.54,447,online,21/03/21,TrickBot
21/02/22 16:57,162.13.114.59,443,online,21/03/21,Dridex
21/02/22 16:57,37.187.115.122,6601,online,21/03/21,Dridex
21/02/22 16:58,70.39.99.196,8172,offline,21/03/18,Dridex
21/02/22 17:42,178.54.230.164,443,offline,21/03/13,TrickBot
21/02/22 18:32,103.76.20.226,443,offline,21/03/18,TrickBot
21/02/22 20:42,80.78.75.246,443,offline,21/03/18,TrickBot
21/02/22 23:30,154.79.252.132,449,offline,21/03/10,TrickBot
21/02/23 11:15,5.182.210.132,443,online,21/03/21,TrickBot
21/02/23 20:23,80.78.77.116,449,offline,21/03/18,TrickBot
21/02/23 20:23,168.232.188.88,449,offline,21/03/18,TrickBot
21/02/23 20:23,173.81.4.147,449,offline,21/03/04,TrickBot
21/02/23 20:24,202.142.151.190,449,offline,21/03/18,TrickBot
21/02/23 20:24,37.235.230.123,449,offline,21/03/02,TrickBot
21/02/23 20:24,186.195.199.238,449,offline,21/03/18,TrickBot
21/02/23 20:24,177.47.88.62,443,offline,21/03/12,TrickBot
21/02/23 20:24,36.92.93.5,449,offline,21/03/18,TrickBot
21/02/23 20:24,103.146.2.152,449,offline,21/03/18,TrickBot
21/02/23 20:24,182.48.66.106,443,offline,21/03/09,TrickBot
21/02/23 20:24,36.94.202.131,443,offline,21/03/18,TrickBot
21/02/23 20:24,179.60.243.52,443,offline,21/03/18,TrickBot
21/02/24 09:02,103.146.185.107,447,offline,21/03/13,TrickBot
21/02/24 14:45,209.151.236.42,443,offline,21/03/18,Dridex
21/02/24 14:46,91.121.94.86,8172,offline,21/03/02,Dridex
21/02/24 15:00,5.189.144.136,6516,offline,21/03/01,Dridex
21/02/24 17:12,131.72.153.198,447,offline,21/02/24,TrickBot
21/02/24 17:18,131.255.106.152,449,offline,21/03/17,TrickBot
21/02/24 17:18,37.112.60.123,447,offline,21/03/03,TrickBot
21/02/24 18:44,202.91.41.138,449,offline,21/03/18,TrickBot
21/02/25 09:54,122.2.28.70,449,offline,21/03/18,TrickBot
21/02/25 09:54,103.225.138.94,449,offline,21/03/18,TrickBot
21/02/25 17:48,123.231.149.123,447,online,21/03/21,TrickBot
21/02/26 03:11,190.119.167.154,447,offline,21/03/04,TrickBot
21/02/26 04:34,47.103.145.214,443,offline,21/02/27,Dridex
21/02/26 18:32,117.210.210.179,447,offline,21/03/11,TrickBot
21/02/26 18:41,200.195.233.10,447,offline,21/03/18,TrickBot
21/02/26 18:42,170.82.4.158,447,online,21/03/21,TrickBot
21/02/26 21:02,37.29.124.94,447,offline,21/03/19,TrickBot
21/02/26 22:22,103.239.165.24,447,offline,21/03/16,TrickBot
21/02/28 22:01,103.146.2.152,447,offline,21/03/20,TrickBot
21/03/01 14:00,103.54.42.218,447,offline,21/03/06,TrickBot
21/03/01 14:20,85.25.134.43,8172,online,21/03/21,Dridex
21/03/01 14:20,77.220.64.146,443,offline,21/03/18,Dridex
21/03/01 14:20,213.208.134.178,6516,offline,21/03/17,Dridex
21/03/01 17:54,50.243.30.51,6601,offline,21/03/18,Dridex
21/03/01 17:54,37.247.35.132,443,offline,21/03/06,Dridex
21/03/01 17:55,162.241.204.234,6516,online,21/03/21,Dridex
21/03/01 21:11,121.199.35.69,443,online,21/03/21,Dridex
21/03/02 08:01,185.97.135.164,447,offline,21/03/04,TrickBot
21/03/02 17:58,85.88.174.94,447,online,21/03/21,TrickBot
21/03/03 06:08,203.160.59.14,447,offline,21/03/20,TrickBot
21/03/03 07:12,36.66.111.251,447,offline,21/03/08,TrickBot
21/03/03 15:18,216.10.242.142,6601,online,21/03/21,Dridex
21/03/03 15:18,37.247.35.137,6601,offline,21/03/15,Dridex
21/03/03 15:18,116.251.211.158,443,offline,21/03/16,Dridex
21/03/04 03:09,103.73.102.174,447,offline,21/03/20,TrickBot
21/03/05 04:29,114.34.226.52,447,offline,21/03/20,TrickBot
21/03/05 21:29,111.235.66.83,447,online,21/03/21,TrickBot
21/03/07 20:14,210.65.244.186,6601,offline,21/03/10,Dridex
21/03/07 23:49,62.64.9.237,447,online,21/03/21,TrickBot
21/03/08 06:32,190.152.71.230,447,offline,21/03/20,TrickBot
21/03/08 06:39,94.74.133.76,447,offline,21/03/20,TrickBot
21/03/08 15:06,181.191.67.186,447,offline,21/03/17,TrickBot
21/03/08 16:38,77.220.64.135,443,offline,21/03/18,Dridex
21/03/08 16:38,107.180.90.10,6601,online,21/03/21,Dridex
21/03/08 16:38,31.24.158.56,7275,online,21/03/21,Dridex
21/03/09 22:17,167.179.194.205,447,online,21/03/21,TrickBot
21/03/09 22:31,79.106.115.103,447,offline,21/03/18,TrickBot
21/03/10 13:58,178.33.183.53,7443,online,21/03/21,Dridex
21/03/10 13:58,210.65.244.166,443,offline,21/03/18,Dridex
21/03/10 13:58,157.7.139.198,6601,online,21/03/21,Dridex
21/03/10 15:58,144.76.42.74,6601,online,21/03/21,Dridex
21/03/10 15:58,41.76.108.46,8172,offline,21/03/12,Dridex
21/03/10 15:58,195.154.221.186,443,offline,21/03/10,Dridex
21/03/11 20:37,153.126.203.229,6601,offline,21/03/18,Dridex
21/03/14 10:40,195.210.28.233,6601,online,21/03/21,Dridex
